Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Bhilai,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1307,1307,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10286,12484,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),19413,20915,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1795,1967,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3477,3845,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4174,4542,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7014,7885,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2095,2405,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3902,3902,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1013,1079,2023,1
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),82P,82P,2023,1
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7149,10302,2023,1
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),15432,17326,2023,1
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1620,1673,2023,1
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3631,4464,2023,1
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7880,7880,2023,1
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2284,2356,2023,1
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3524,3524,2023,1
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1050,1050,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2547,3498,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5760,6983,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,557,572,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1000,1000,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,4P,4P,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1409,1586,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3025,3678,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,678,711,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),862,862,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,305,342,2023,1
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),908,908,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6094,7902,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11818,14268,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,177P,177P,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1087,1292,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2709,2709,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3024,3358,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5783,5793,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1589,1793,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2500,2500,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,507,871,2023,1
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1408,1408,2023,1
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3805,5364,2023,1
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7201,10413,2023,1
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,825,936,2023,1
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1880,2223,2023,1
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4517,4570,2023,1
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1097,1425,2023,1
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,631,668,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8378,11060,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),17668,18157,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1640,1755,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3853,3853,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3603,4284,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7347,7422,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1816,2121,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3347,3588,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,831,858,2023,1
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1553,1553,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,12524,14298,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),20674,21553,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2082,2143,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3860,3860,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4218,4995,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7860,8340,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2451,2643,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3913,3913,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1188,1232,2023,1
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),131P,131P,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,12897,14583,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),20425,21815,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2208,2260,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3769,3769,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3864,5150,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8046,8264,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1574,2518,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3863,3863,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,987,1100,2023,1
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1572,1572,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3050,4458,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8521,9840,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,761,886,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1496,1496,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1365,2242,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3788,4481,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,684,965,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1690,1690,2023,1
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,288,618,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7667,9001,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13533,14564,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1320,1470,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3217,3217,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2893,3418,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6104,6416,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1755,2078,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3326,3326,2023,1
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,876,1028,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,12727,15146,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),21925,22385,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2273,2315,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4166,4166,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4763,5434,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),9044,9044,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2962,2998,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4455,4455,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1352,1354,2023,1
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),265P,265P,2023,1
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5536,7530,2023,1
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10282,13480,2023,1
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1097,1139,2023,1
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2014,3015,2023,1
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4795,5459,2023,1
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,991,1313,2023,1
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2641,2868,2023,1
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,735,816,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9821,11770,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18797,20378,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1732,1957,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3453,3453,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3986,4401,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7480,7813,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1833,2471,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3643,3643,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1012,1093,2023,1
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1556,1556,2023,1
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,13177,14308,2023,1
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),19087,19087,2023,1
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2160,2160,2023,1
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4750,5187,2023,1
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6787,6787,2023,1
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2576,2648,2023,1
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3894,3894,2023,1
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1168,1168,2023,1
Indian Institute of Technology Dharwad,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,13362,13769,2023,1
Indian Institute of Technology Dharwad,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),22017,22017,2023,1
