Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),664,1655,2023,3
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,142,487,2023,3
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Female-only (including Supernumerary),402,502,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,5243,8101,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),5019,14327,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,234P,234P,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1216,1363,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2924,2924,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2800,3976,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),6818,6843,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1610,2164,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),2890,2890,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1255,1306,2023,3
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1226,1226,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Gender-Neutral,2290,4209,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Female-only (including Supernumerary),6178,7857,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Gender-Neutral,158,69P,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Gender-Neutral,507,830,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Female-only (including Supernumerary),1855,2162,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Gender-Neutral,1078,2020,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1854,4500,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL (PwD),Gender-Neutral,65P,65P,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Gender-Neutral,550,1115,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),1478,1796,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,217,335,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Female-only (including Supernumerary),336,770,2023,3
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of
                        Technology)",AI,ST (PwD),Gender-Neutral,8P,8P,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Gender-Neutral,1,67,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Female-only (including Supernumerary),56,291,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Gender-Neutral,3,5,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),11,11,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Gender-Neutral,6,20,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Female-only (including Supernumerary),29,74,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS (PwD),Gender-Neutral,2,2,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Gender-Neutral,10,58,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Female-only (including Supernumerary),59,227,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL (PwD),Gender-Neutral,5,7,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),12,12,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Gender-Neutral,2,27,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),31,113,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,SC (PwD),Gender-Neutral,5,5,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,1,10,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Female-only (including Supernumerary),40,87,2023,3
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of
                        Technology)",AI,ST (PwD),Gender-Neutral,1,1,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,1370,2102,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),2715,5963,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,152,152,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,359,508,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),895,895,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,717,1330,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),1343,1343,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,259,811,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),1654,1654,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,437,973,2023,3
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),480,480,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Gender-Neutral,142,469,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Female-only (including Supernumerary),573,1286,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Gender-Neutral,32,32,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),80,80,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Gender-Neutral,62,133,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Female-only (including Supernumerary),256,273,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Gender-Neutral,83,386,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Female-only (including Supernumerary),332,930,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL (PwD),Gender-Neutral,45,45,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Gender-Neutral,101,195,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),554,626,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,34,90,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Female-only (including Supernumerary),264,264,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,OPEN,Gender-Neutral,563,966,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),2250,3007,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,149,149,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,EWS,Gender-Neutral,171,253,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,EWS,Female-only (including Supernumerary),588,588,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,406,683,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),938,1524,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,SC,Gender-Neutral,196,379,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),613,957,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,ST,Gender-Neutral,99,208,2023,3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of
                        Technology (Dual Degree))",AI,ST,Female-only (including Supernumerary),323,323,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Gender-Neutral,1762,2731,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Female-only (including Supernumerary),4565,5965,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Gender-Neutral,152P,152P,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Gender-Neutral,495,782,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Female-only (including Supernumerary),2008,2008,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Gender-Neutral,1395,1811,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3717,3766,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Gender-Neutral,492,1229,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),1702,1702,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,732,818,2023,3
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Female-only (including Supernumerary),874,874,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,OPEN,Gender-Neutral,321,1135,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,OPEN,Female-only (including Supernumerary),2925,4566,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Gender-Neutral,70,70,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,EWS,Gender-Neutral,351,610,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,EWS,Female-only (including Supernumerary),2169,2169,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Gender-Neutral,803,1526,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2799,3228,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,SC,Gender-Neutral,529,897,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),2082,2329,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,534,784,2023,3
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of
                        Technology)",AI,ST,Female-only (including Supernumerary),1178,1178,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,OPEN,Gender-Neutral,3005,5400,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8179,10623,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,EWS,Gender-Neutral,924,1187,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2256,2256,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2167,2981,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3939,4103,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,SC,Gender-Neutral,1195,1472,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2287,2287,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,ST,Gender-Neutral,912,979,2023,3
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1045,1045,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Gender-Neutral,493,1692,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Female-only (including Supernumerary),1792,4173,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Gender-Neutral,18,66,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Gender-Neutral,243,376,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Female-only (including Supernumerary),690,756,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS (PwD),Gender-Neutral,14,14,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Gender-Neutral,304,972,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1227,2457,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL (PwD),Gender-Neutral,38P,49P,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Gender-Neutral,221,493,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),636,1226,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,86,261,2023,3
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Female-only (including Supernumerary),344,513,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2708,4511,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5426,7838,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,67P,157P,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,549,941,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2185,2213,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1175,2461,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4343,4688,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,SC,Gender-Neutral,837,1414,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2229,2796,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,ST,Gender-Neutral,439,804,2023,3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4
                        Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),752,813,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Gender-Neutral,8456,11674,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN,Female-only (including Supernumerary),18725,18857,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Gender-Neutral,245P,245P,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Gender-Neutral,1731,1868,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,EWS,Female-only (including Supernumerary),4080,4080,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Gender-Neutral,4263,5369,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Gender-Neutral,2808,3080,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),3410,3410,2023,3
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,1159,1308,2023,3
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,OPEN,Gender-Neutral,10218,13776,2023,3
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18931,21599,2023,3
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,EWS,Gender-Neutral,2233,2251,2023,3
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3808,3808,2023,3
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5326,5739,2023,3
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,SC,Gender-Neutral,2791,2877,2023,3
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4455,4455,2023,3
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years,
                        Bachelor of Technology)",AI,ST,Gender-Neutral,1352,1380,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,OPEN,Gender-Neutral,3113,4111,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,OPEN,Female-only (including Supernumerary),8841,9114,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,EWS,Gender-Neutral,681,723,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,EWS,Female-only (including Supernumerary),1370,1370,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,OBC-NCL,Gender-Neutral,1596,1956,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3606,3791,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,SC,Gender-Neutral,987,1244,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,SC,Female-only (including Supernumerary),1940,1940,2023,3
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor
                        of Technology)",AI,ST,Gender-Neutral,545,735,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,OPEN,Gender-Neutral,4265,6632,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,OPEN,Female-only (including Supernumerary),11401,11768,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,OPEN (PwD),Gender-Neutral,75P,75P,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,EWS,Gender-Neutral,982,990,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,EWS,Female-only (including Supernumerary),2440,2440,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Gender-Neutral,2280,2926,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4643,4800,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,SC,Gender-Neutral,1484,1882,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,SC,Female-only (including Supernumerary),3027,3027,2023,3
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of
                        Technology)",AI,ST,Gender-Neutral,1143,1205,2023,3
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,12350,14927,2023,3
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18296,20009,2023,3
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2302,2323,2023,3
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3887,3887,2023,3
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5433,5802,2023,3
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3052,3127,2023,3
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4152,4152,2023,3
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1443,1520,2023,3
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of
                        Science)",AI,OPEN,Gender-Neutral,11246,15989,2023,3
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of
                        Science)",AI,OPEN,Female-only (including Supernumerary),23604,23882,2023,3
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of
                        Science)",AI,EWS,Gender-Neutral,2409,2464,2023,3
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of
                        Science)",AI,EWS,Female-only (including Supernumerary),4240,4240,2023,3
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of
                        Science)",AI,OBC-NCL,Gender-Neutral,5906,6053,2023,3
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of
                        Science)",AI,SC,Gender-Neutral,3153,3278,2023,3
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of
                        Science)",AI,SC,Female-only (including Supernumerary),4651,4651,2023,3
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of
                        Science)",AI,ST,Gender-Neutral,1446,1522,2023,3
